taste,reason,movie
 I have a diverse taste in movies.|  I appreciate movies with strong female leads.|  I enjoy heartwarming and nostalgic movies.|  I'm a fan of animated films.|  I enjoy movies that explore the human mind and emotions.|  I love movies that take me on thrilling and suspenseful journeys.|  I appreciate movies with strong performances and compelling storytelling.|  I enjoy movies that transport me to different worlds and cultures.|  I'm drawn to movies based on true stories.|  I have a soft spot for movies that celebrate the power of imagination., I enjoy exploring different genres and styles.|  I find it empowering and inspiring.|  They bring back fond memories and make me feel good.|  The creativity and imagination in animation fascinate me.|  They make me reflect on life and appreciate its complexities.|  The adrenaline rush and unpredictability keep me engaged.|  They captivate me and leave a lasting impression.|  They broaden my perspective and ignite my sense of adventure.|  They inspire me and remind me of the power of real-life experiences.|  They remind me of the magic and wonder of childhood.," Sound of Music, The (1965); Meet Joe Black (1998); Christmas Story, A (1983); Tarzan (1999); Run Lola Run (Lola rennt) (1998); My Fair Lady (1964); Toy Story 2 (1999); Mary Poppins (1964); Mulan (1998); Wallace & Gromit: The Best of Aardman Animation (1996); Pleasantville (1998); Awakenings (1990); Back to the Future (1985); Secret Garden, The (1993); Hercules (1997); Dead Poets Society (1989); James and the Giant Peach (1996); Rain Man (1988); Apollo 13 (1995); Erin Brockovich (2000); E.T. the Extra-Terrestrial (1982)|  Mulan (1998); Erin Brockovich (2000)|  Christmas Story, A (1983); Toy Story 2 (1999); Mary Poppins (1964); Secret Garden, The (1993); E.T. the Extra-Terrestrial (1982)|  Tarzan (1999); Toy Story 2 (1999); Wallace & Gromit: The Best of Aardman Animation (1996); Hercules (1997); James and the Giant Peach (1996)|  Awakenings (1990); Rain Man (1988); Dead Poets Society (1989)|  Run Lola Run (Lola rennt) (1998); Back to the Future (1985); Apollo 13 (1995)|  Meet Joe Black (1998); My Fair Lady (1964); Pleasantville (1998)|  Sound of Music, The (1965); Mulan (1998); Mary Poppins (1964); Tarzan (1999); Hercules (1997)|  Awakenings (1990); Erin Brockovich (2000); Apollo 13 (1995)|  Wallace & Gromit: The Best of Aardman Animation (1996); James and the Giant Peach (1996); E.T. the Extra-Terrestrial (1982)"
 I have a diverse taste in movies.|  I enjoy thought-provoking and emotionally impactful movies.|  I have a fascination with unique and visually stunning movies.|  I enjoy movies with a mix of comedy and action.|  I appreciate movies that explore complex relationships and human emotions.|  I enjoy movies that offer a glimpse into different cultures and traditions.|  I have a taste for crime and gangster movies.|  I appreciate movies that explore the complexities of identity and personal struggles.|  I enjoy movies that depict the power of family and the importance of relationships.|  I have a fondness for historical and period dramas., I enjoy exploring different genres and experiencing a range of emotions.|  I appreciate films that make me reflect on life and evoke strong emotions.|  I am drawn to films that offer a visually captivating experience.|  I like films that keep me entertained with a blend of humor and excitement.|  I find it fascinating to delve into the intricacies of human connections and emotions.|  I find it enriching to learn about different cultures through the medium of film.|  I am intrigued by the gritty and intense world of crime and gangsters.|  I find it compelling to witness characters grappling with their own identities and overcoming personal challenges.|  I am moved by stories that highlight the significance of family bonds and the impact they have on our lives.|  I am captivated by stories set in different time periods and enjoy immersing myself in historical settings.," What Dreams May Come (1998); Arachnophobia (1990); Bridges of Madison County, The (1995); Prince of Tides, The (1991); Apollo 13 (1995); Groundhog Day (1993); Like Water for Chocolate (Como agua para chocolate) (1992); Men in Black (1997); Primary Colors (1998); Desperado (1995); Cider House Rules, The (1999); Buffalo 66 (1998); Man in the Iron Mask, The (1998); My Crazy Life (Mi vida loca) (1993); Misérables, Les (1995); Soul Food (1997); Akira (1988); Eve's Bayou (1997); Mask of Zorro, The (1998); GoodFellas (1990); Dead Presidents (1995); Eyes Wide Shut (1999); Leaving Las Vegas (1995); Shakespeare in Love (1998); Heaven & Earth (1993)|  What Dreams May Come (1998); Bridges of Madison County, The (1995); Apollo 13 (1995); Groundhog Day (1993); Leaving Las Vegas (1995); Shakespeare in Love (1998); Heaven & Earth (1993)|  What Dreams May Come (1998); Arachnophobia (1990); Like Water for Chocolate (Como agua para chocolate) (1992); Akira (1988); Eyes Wide Shut (1999)|  Men in Black (1997); Desperado (1995); Mask of Zorro, The (1998)|  Bridges of Madison County, The (1995); Prince of Tides, The (1991); Cider House Rules, The (1999); Eve's Bayou (1997)|  Like Water for Chocolate (Como agua para chocolate) (1992); Heaven & Earth (1993)|  GoodFellas (1990); Dead Presidents (1995)|  Buffalo 66 (1998); Man in the Iron Mask, The (1998); My Crazy Life (Mi vida loca) (1993)|  Soul Food (1997); Misérables, Les (1995)|  Shakespeare in Love (1998); Heaven & Earth (1993)"
 I have a diverse taste in movies.|  I enjoy classic movies.|  I have a taste for quirky and offbeat films.|  I am a fan of action-packed movies.|  I enjoy romantic comedies.|  I have a fascination with crime and detective movies.|  I am a fan of adventure and fantasy films.|  I enjoy movies with a historical setting.|  I appreciate movies with witty dialogue.|  I am a fan of movies with iconic performances., I enjoy exploring different genres and eras.|  I appreciate the timeless storytelling and iconic performances.|  I enjoy movies that challenge traditional storytelling and offer unique perspectives.|  I love the adrenaline rush and thrilling plotlines.|  I appreciate the blend of romance and humor in these movies.|  I find the suspense and mystery captivating.|  I love immersing myself in magical and thrilling worlds.|  I find it fascinating to learn about different time periods.|  I enjoy clever and humorous conversations between characters.|  I appreciate actors who deliver memorable and captivating performances.," Perils of Pauline (1947), Harold and Maude (1971), Annie Hall (1977), Get Shorty (1995), Lethal Weapon (1987), My Cousin Vinny (1992), King Kong (1933), American Graffiti (1973), Scarlet Letter, The (1926), Jungle Book, The (1967), King in New York, A (1957), Fast Times at Ridgemont High (1982), Donnie Brasco (1997), Lady Vanishes, The (1938), Bachelor Party (1984), Butch Cassidy and the Sundance Kid (1969), My Favorite Year (1982), Men in Black (1997), Four Weddings and a Funeral (1994), Funny Face (1957), Princess Bride, The (1987), Little Lord Fauntleroy (1936), Jurassic Park (1993), Philadelphia Story, The (1940), From Russia with Love (1963)|  Perils of Pauline (1947), Annie Hall (1977), Lethal Weapon (1987), King Kong (1933), American Graffiti (1973), Scarlet Letter, The (1926), King in New York, A (1957), Lady Vanishes, The (1938), Butch Cassidy and the Sundance Kid (1969), Little Lord Fauntleroy (1936), Philadelphia Story, The (1940), From Russia with Love (1963)|  Harold and Maude (1971), Annie Hall (1977), Get Shorty (1995), My Cousin Vinny (1992), American Graffiti (1973), Fast Times at Ridgemont High (1982), Donnie Brasco (1997), Bachelor Party (1984), My Favorite Year (1982), Four Weddings and a Funeral (1994), Princess Bride, The (1987)|  Lethal Weapon (1987), Get Shorty (1995), King Kong (1933), Jungle Book, The (1967), Men in Black (1997), Jurassic Park (1993), From Russia with Love (1963)|  Annie Hall (1977), Four Weddings and a Funeral (1994), Funny Face (1957), Princess Bride, The (1987)|  My Cousin Vinny (1992), Lady Vanishes, The (1938), Donnie Brasco (1997)|  King Kong (1933), Jungle Book, The (1967), Jurassic Park (1993), Princess Bride, The (1987)|  Scarlet Letter, The (1926), King in New York, A (1957), Little Lord Fauntleroy (1936), Philadelphia Story, The (1940)|  Annie Hall (1977), My Favorite Year (1982), Four Weddings and a Funeral (1994), Princess Bride, The (1987)|  Harold and Maude (1971), Annie Hall (1977), Lethal Weapon (1987), My Cousin Vinny (1992), American Graffiti (1973), Butch Cassidy and the Sundance Kid (1969), Philadelphia Story, The (1940), From Russia with Love (1963)"
 I enjoy romantic comedies.|  I am a fan of classic musicals.|  I have a fascination with historical dramas.|  I enjoy suspenseful thrillers.|  I appreciate thought-provoking and unconventional films.|  I have a soft spot for heartwarming romantic dramas.|  I am a fan of fantasy and adventure films.|  I enjoy light-hearted and family-friendly movies.|  I am a fan of action-packed spy movies.|  I enjoy romantic movies with a twist., I love the lighthearted and humorous nature of romantic comedies.|  I appreciate the timeless music and captivating dance numbers in classic musicals.|  I find it intriguing to learn about different time periods and witness historical events unfold on screen.|  I love the adrenaline rush and the anticipation that comes with watching suspenseful thrillers.|  I enjoy movies that challenge traditional storytelling and make me think outside the box.|  I enjoy the emotional journey and the heartfelt moments that come with watching romantic dramas.|  I love being transported to magical worlds and going on thrilling adventures through movies.|  I appreciate movies that can be enjoyed by the whole family and bring a smile to my face.|  I love the excitement and the clever plot twists that come with watching spy movies.|  I find it interesting to see love stories with unexpected and unique elements.," My Best Friend's Wedding (1997); Four Weddings and a Funeral (1994); Shakespeare in Love (1998)|  Singin' in the Rain (1952); My Best Friend's Wedding (1997); Four Weddings and a Funeral (1994)|  Titanic (1997); Shakespeare in Love (1998)|  Sleepy Hollow (1999); Jurassic Park (1993); The Exorcist (1973)|  The Crying Game (1992); The Graduate (1967)|  Where the Heart Is (2000); Ghost (1990); Dirty Dancing (1987)|  Jurassic Park (1993); Sleepy Hollow (1999); Splash (1984)|  Sesame Street Presents Follow That Bird (1985); Nutty Professor, The (1996)|  Tomorrow Never Dies (1997)|  The Crying Game (1992); Shakespeare in Love (1998); My Best Friend's Wedding (1997)"
" I enjoy action-packed movies with intense and thrilling plots.|  I have a soft spot for comedy movies that make me laugh out loud.|  I appreciate movies with strong and charismatic lead actors.|  I am a fan of thrilling and suspenseful spy movies.|  I enjoy action-comedy movies that combine thrilling action sequences with humor.|  I have a fondness for sports movies that inspire and uplift.|  I am a fan of adventure movies that take me on exciting journeys.|  I enjoy movies with a touch of romance and heartfelt storytelling.|  I am drawn to action-packed movies with intense fight scenes.|  I appreciate movies with intriguing and unpredictable plots.|  I enjoy movies with a mix of action, comedy, and adventure.", I love the adrenaline rush and the suspense that comes with these types of movies.|  I enjoy the light-hearted humor and the comedic timing in these films.|  I am drawn to the performances of talented actors who bring their characters to life.|  I love the intrigue and the clever plot twists that keep me on the edge of my seat.|  The blend of action and comedy creates an entertaining and enjoyable movie experience.|  I am inspired by the determination and teamwork portrayed in these films.|  I love the sense of exploration and the thrill of discovering new worlds.|  I appreciate the emotional depth and the connection between the characters.|  I find the choreography and the skill of the actors in these scenes impressive.|  I enjoy being kept guessing and being surprised by the twists and turns.|  The combination of different genres creates a dynamic and entertaining movie experience.," Die Hard 2, Air Force One, Mission: Impossible|  Big Momma's House, Nutty Professor II: The Klumps, Loaded Weapon 1|  The Rock, Jackie Chan's First Strike, Maverick|  Enemy of the State, True Lies, Mission: Impossible|  Bad Boys, Last Man Standing, True Romance|  Remember the Titans|  The Mummy, Road Trip, Young Guns II|  Cyrano de Bergerac, True Romance, Brothers McMullen|  Rumble in the Bronx, Die Hard 2|  Enemy of the State, True Lies, The Replacements|  Men in Black, Con Air, Loaded Weapon 1"
 I enjoy intense and suspenseful movies.|  I appreciate thought-provoking and mind-bending films.|  I have a soft spot for heartwarming and feel-good movies.|  I am a fan of action-packed and thrilling movies.|  I enjoy dark and gritty films that explore the darker side of human nature.|  I appreciate movies with a touch of humor and wit.|  I am a fan of gripping and emotionally charged dramas.," I am drawn to movies that keep me on the edge of my seat, guessing what will happen next.|  I enjoy movies that challenge my perception and make me think deeply about the story and its meaning.|  Sometimes, I just want to watch a movie that puts a smile on my face and leaves me feeling uplifted.|  I love movies that are filled with adrenaline-pumping moments and keep me entertained from start to finish.|  These movies often delve into complex characters and showcase the raw and harsh realities of life.|  Sometimes, I just want to sit back and enjoy a movie that can make me laugh and entertain me with clever jokes.|  I enjoy movies that tug at my heartstrings and make me feel deeply connected to the characters and their stories."," Usual Suspects, The (1995); L.A. Confidential (1997); Fugitive, The (1993); Zero Effect (1998); Ref, The (1994); Fargo (1996)|  Sixth Sense, The (1999); Being John Malkovich (1999); Pleasantville (1998)|  Full Monty, The (1997); Waking Ned Devine (1998); Babe (1995)|  Braveheart (1995); Last of the Mohicans, The (1992); Three Kings (1999)|  One False Move (1991); Thin Red Line, The (1998); Drugstore Cowboy (1989)|  Swingers (1996); Grosse Pointe Blank (1997); There's Something About Mary (1998); Bug's Life, A (1998)|  Rob Roy (1995); Hoop Dreams (1994)"
 I have a diverse taste in movies.|  I appreciate movies that challenge societal norms and provoke thought.|  I enjoy movies with strong character development.|  I have a fascination with historical and biographical films.|  I have a soft spot for romantic comedies.|  I appreciate movies that blend different genres.|  I enjoy classic films that have stood the test of time., I enjoy exploring different genres and time periods.|  I find it intriguing to explore complex themes and ideas.|  I like to see characters evolve and grow throughout the story.|  I find it captivating to learn about real-life events and individuals.|  I enjoy the lightheartedness and humor in these types of movies.|  I find it exciting when movies can successfully combine different elements.|  I appreciate the craftsmanship and storytelling of older movies.," Miracle on 34th Street (1947); Romeo and Juliet (1968); Henry: Portrait of a Serial Killer (1990); Thin Man, The (1934); Twelve Monkeys (1995); Gandhi (1982); 8 1/2 (1963); American Beauty (1999); Speed (1994); Cool Hand Luke (1967); Kagemusha (1980); When Harry Met Sally... (1989); Dead Poets Society (1989); E.T. the Extra-Terrestrial (1982); French Connection, The (1971); Woman in the Dunes (Suna no onna) (1964); 400 Blows, The (Les Quatre cents coups) (1959); Roman Holiday (1953); Malcolm X (1992); Grease (1978); Patton (1970); Citizen Kane (1941); Star Wars: Episode IV - A New Hope (1977); High Noon (1952); Much Ado About Nothing (1993)|  American Beauty (1999); Dead Poets Society (1989); Gandhi (1982); Malcolm X (1992)|  Cool Hand Luke (1967); E.T. the Extra-Terrestrial (1982); Dead Poets Society (1989)|  Gandhi (1982); Malcolm X (1992); Patton (1970)|  When Harry Met Sally... (1989); Roman Holiday (1953); Much Ado About Nothing (1993)|  Twelve Monkeys (1995); Grease (1978); Star Wars: Episode IV - A New Hope (1977)|  Miracle on 34th Street (1947); Thin Man, The (1934); French Connection, The (1971); Citizen Kane (1941); High Noon (1952)"
 I have a diverse taste in movies.|  I appreciate movies with strong performances.|  I enjoy movies with thought-provoking storylines.|  I have a soft spot for classic movies.|  I enjoy movies with a mix of drama and humor., I enjoy exploring different genres and time periods.|  I am drawn to films that showcase exceptional acting skills.|  I like films that make me think and reflect on deeper themes.|  I appreciate the timeless appeal and craftsmanship of older films.|  I appreciate films that can balance serious moments with comedic elements.," Mister Roberts (1955); Network (1976); Key Largo (1948); Shawshank Redemption, The (1994); Last Picture Show, The (1971); French Connection, The (1971); Ordinary People (1980); Bonnie and Clyde (1967); Leaving Las Vegas (1995); Miracle on 34th Street (1994); Ben-Hur (1959); Doctor Dolittle (1967); Airplane! (1980); Best Years of Our Lives, The (1946); My Left Foot (1989); His Girl Friday (1940); Last of the Mohicans, The (1992); Exorcist, The (1973); American Beauty (1999); Breaking Away (1979); Graduate, The (1967); Kramer Vs. Kramer (1979); Cool Hand Luke (1967); Odd Couple, The (1968); Mr. Smith Goes to Washington (1939)|  Network (1976); Shawshank Redemption, The (1994); Ordinary People (1980); Leaving Las Vegas (1995); My Left Foot (1989); American Beauty (1999); Kramer Vs. Kramer (1979)|  Network (1976); Shawshank Redemption, The (1994); Last Picture Show, The (1971); French Connection, The (1971); Ordinary People (1980); Bonnie and Clyde (1967); Leaving Las Vegas (1995); American Beauty (1999); Breaking Away (1979); Graduate, The (1967); Kramer Vs. Kramer (1979); Cool Hand Luke (1967); Mr. Smith Goes to Washington (1939)|  Mister Roberts (1955); Key Largo (1948); Last Picture Show, The (1971); Best Years of Our Lives, The (1946); His Girl Friday (1940); Ben-Hur (1959); Doctor Dolittle (1967); Miracle on 34th Street (1994); Exorcist, The (1973); Mr. Smith Goes to Washington (1939)|  Network (1976); Shawshank Redemption, The (1994); Last Picture Show, The (1971); French Connection, The (1971); Ordinary People (1980); Bonnie and Clyde (1967); Leaving Las Vegas (1995); Airplane! (1980); Best Years of Our Lives, The (1946); His Girl Friday (1940); American Beauty (1999); Breaking Away (1979); Graduate, The (1967); Kramer Vs. Kramer (1979); Cool Hand Luke (1967); Odd Couple, The (1968); Mr. Smith Goes to Washington (1939)"
 I have a diverse taste in movies.|  I appreciate thought-provoking and emotionally impactful films.|  I enjoy movies with strong character development.|  I have a penchant for historical and period dramas.|  I am a fan of intense and gripping war films.|  I enjoy movies that explore social and political issues.|  I have a soft spot for emotionally poignant and heartfelt dramas.," I enjoy exploring different genres and experiencing a wide range of storytelling.|  I enjoy movies that make me think, feel, and reflect on various aspects of life.|  I appreciate films that delve deep into the complexities of the characters and their personal journeys.|  I am fascinated by stories set in different eras and enjoy immersing myself in the historical context.|  I find war movies to be both thrilling and thought-provoking, showcasing the resilience and sacrifices of individuals during times of conflict.|  I appreciate films that shed light on important societal and political topics, sparking discussions and raising awareness.|  I am drawn to movies that evoke strong emotions and leave a lasting impact on my heart."," As Good As It Gets (1997); Thelma & Louise (1991); Saving Private Ryan (1998); Madness of King George, The (1994); Titanic (1997); Cry, the Beloved Country (1995); All About My Mother (Todo Sobre Mi Madre) (1999); Indiana Jones and the Last Crusade (1989); Inkwell, The (1994); Primary Colors (1998); Elizabeth (1998); Sense and Sensibility (1995); Sling Blade (1996); Henry Fool (1997); Bound (1996); People vs. Larry Flynt, The (1996); Star Wars: Episode V - The Empire Strikes Back (1980); Boat, The (Das Boot) (1981); Cider House Rules, The (1999); American Beauty (1999); Six Degrees of Separation (1993); Love and Death on Long Island (1997); Twin Falls Idaho (1999); Man and a Woman, A (Un Homme et une Femme) (1966); Farewell My Concubine (1993)|  As Good As It Gets (1997); Thelma & Louise (1991); Saving Private Ryan (1998); Madness of King George, The (1994); Titanic (1997); Cry, the Beloved Country (1995); All About My Mother (Todo Sobre Mi Madre) (1999); Inkwell, The (1994); Primary Colors (1998); Elizabeth (1998); Sense and Sensibility (1995); Sling Blade (1996); Henry Fool (1997); Bound (1996); People vs. Larry Flynt, The (1996); Boat, The (Das Boot) (1981); Cider House Rules, The (1999); American Beauty (1999); Six Degrees of Separation (1993); Love and Death on Long Island (1997); Twin Falls Idaho (1999); Man and a Woman, A (Un Homme et une Femme) (1966); Farewell My Concubine (1993)|  As Good As It Gets (1997); Thelma & Louise (1991); Saving Private Ryan (1998); Madness of King George, The (1994); Titanic (1997); Cry, the Beloved Country (1995); All About My Mother (Todo Sobre Mi Madre) (1999); Inkwell, The (1994); Primary Colors (1998); Elizabeth (1998); Sense and Sensibility (1995); Sling Blade (1996); Henry Fool (1997); Bound (1996); People vs. Larry Flynt, The (1996); Cider House Rules, The (1999); American Beauty (1999); Six Degrees of Separation (1993); Love and Death on Long Island (1997); Twin Falls Idaho (1999); Man and a Woman, A (Un Homme et une Femme) (1966); Farewell My Concubine (1993)|  Thelma & Louise (1991); Madness of King George, The (1994); Titanic (1997); Cry, the Beloved Country (1995); Elizabeth (1998); Sense and Sensibility (1995); Cider House Rules, The (1999); Farewell My Concubine (1993)|  Saving Private Ryan (1998); Boat, The (Das Boot) (1981)|  All About My Mother (Todo Sobre Mi Madre) (1999); Primary Colors (1998); People vs. Larry Flynt, The (1996); American Beauty (1999); Six Degrees of Separation (1993)|  Inkwell, The (1994); Sling Blade (1996); Henry Fool (1997); Love and Death on Long Island (1997); Twin Falls Idaho (1999); Man and a Woman, A (Un Homme et une Femme) (1966)"
 I have a diverse taste in movies.|  I appreciate movies with complex and thought-provoking narratives.|  I have a soft spot for classic adventure films.|  I enjoy movies that blend action and suspense.|  I have a fondness for movies that mix humor with heart.|  I am a fan of superhero movies.|  I appreciate movies that explore the darker side of human nature.|  I enjoy movies that keep me on the edge of my seat.|  I have a fascination with science fiction.|  I appreciate movies that blend different genres seamlessly.|  I enjoy movies that explore the absurdity of war and politics., I enjoy exploring different genres and experiencing a wide range of storytelling.|  I enjoy being challenged intellectually and delving into deeper themes.|  I find the timeless charm and excitement of classic adventure movies captivating.|  The adrenaline rush and unpredictability of action-packed films keep me engaged.|  The combination of laughter and emotional depth creates a memorable movie experience.|  The larger-than-life characters and epic battles in superhero films never fail to entertain me.|  The exploration of complex characters and their flaws intrigues me.|  The suspense and tension in thrillers make for an exhilarating movie-watching experience.|  The imaginative worlds and futuristic concepts in sci-fi movies captivate my imagination.|  The combination of different genres adds depth and uniqueness to the storytelling.|  The satirical take on serious subjects provides a fresh perspective and thought-provoking commentary.," Alien (1979); Suicide Kings (1997); Forrest Gump (1994); Batman (1989); Fugitive, The (1993); Matrix, The (1999); American Beauty (1999); Mark of Zorro, The (1940); Star Wars: Episode I - The Phantom Menace (1999); Raising Arizona (1987); Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963); Gladiator (2000)|  Matrix, The (1999); American Beauty (1999); Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|  Mark of Zorro, The (1940)|  Fugitive, The (1993); Gladiator (2000)|  Forrest Gump (1994); Raising Arizona (1987)|  Batman (1989); Star Wars: Episode I - The Phantom Menace (1999)|  American Beauty (1999)|  Suicide Kings (1997)|  Matrix, The (1999); Star Wars: Episode I - The Phantom Menace (1999)|  Raising Arizona (1987)|  Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)"
